model,scheme,fold,metric,value
ridge_spatial,spatial,0,medape_pct,24.579920231307007
ridge_spatial,spatial,0,mae_price_gbp,187719.3206923333
ridge_spatial,spatial,0,duan_smearing,1.0811219763331026
lasso_spatial,spatial,0,rmse_log,0.37658273229120215
lasso_spatial,spatial,0,mae_log,0.2918481623203133
lasso_spatial,spatial,0,r2,0.36430984329697536
lasso_spatial,spatial,0,medape_pct,25.010502478707707
lasso_spatial,spatial,0,mae_price_gbp,190259.92564835848
lasso_spatial,spatial,0,duan_smearing,1.08135744357973
lightgbm,spatial,0,rmse_log,0.363763247987168
lightgbm,spatial,0,mae_log,0.27687486147663326
lightgbm,spatial,0,r2,0.40685302435893966
lightgbm,spatial,0,medape_pct,22.784529149919866
lightgbm,spatial,0,mae_price_gbp,171129.6870835416
lightgbm,spatial,0,duan_smearing,1.0567404657567818
global_mean,spatial,1,rmse_log,0.5708623466242972
global_mean,spatial,1,mae_log,0.4246773222180685
global_mean,spatial,1,r2,-0.0016861976511952648
global_mean,spatial,1,medape_pct,32.578335255504804
global_mean,spatial,1,mae_price_gbp,346021.91338666994
global_mean,spatial,1,duan_smearing,1.2730932141382973
global_median,spatial,1,rmse_log,0.5728390604511109
global_median,spatial,1,mae_log,0.42004485565664934
global_median,spatial,1,r2,-0.00863524623915568
global_median,spatial,1,medape_pct,30.58510638297878
global_median,spatial,1,mae_price_gbp,346021.9133866699
global_median,spatial,1,duan_smearing,1.3742039474349153
spatial_knn,spatial,1,rmse_log,0.8047738038505783
spatial_knn,spatial,1,mae_log,0.6466033104269538
spatial_knn,spatial,1,r2,-0.9907492247175038
spatial_knn,spatial,1,medape_pct,55.438876203452494
spatial_knn,spatial,1,mae_price_gbp,546358.426286693
spatial_knn,spatial,1,duan_smearing,1.0412135959287852
ridge_no_spatial,spatial,1,rmse_log,0.4464294455838998
ridge_no_spatial,spatial,1,mae_log,0.34768483257951593
ridge_no_spatial,spatial,1,r2,0.38740343552328693
ridge_no_spatial,spatial,1,medape_pct,31.56219722590138
ridge_no_spatial,spatial,1,mae_price_gbp,294912.00928930205
ridge_no_spatial,spatial,1,duan_smearing,1.1062862378549958
ridge_spatial,spatial,1,rmse_log,0.4103539151250111
ridge_spatial,spatial,1,mae_log,0.30654647666856333
ridge_spatial,spatial,1,r2,0.4824097874162002
ridge_spatial,spatial,1,medape_pct,25.01925704719778
ridge_spatial,spatial,1,mae_price_gbp,240258.9854286427
ridge_spatial,spatial,1,duan_smearing,1.0784403233237079
lasso_spatial,spatial,1,rmse_log,0.4083977917678706
lasso_spatial,spatial,1,mae_log,0.3035015194048826
lasso_spatial,spatial,1,r2,0.48733264588400915
lasso_spatial,spatial,1,medape_pct,24.523412224950274
lasso_spatial,spatial,1,mae_price_gbp,237011.4286424253
lasso_spatial,spatial,1,duan_smearing,1.0786654861710492
lightgbm,spatial,1,rmse_log,0.3905809601267967
lightgbm,spatial,1,mae_log,0.2858981931818083
lightgbm,spatial,1,r2,0.5310883421280882
lightgbm,spatial,1,medape_pct,21.29403914946052
lightgbm,spatial,1,mae_price_gbp,213838.20294988985
lightgbm,spatial,1,duan_smearing,1.0548659029952203
global_mean,spatial,2,rmse_log,0.6550138749343971
global_mean,spatial,2,mae_log,0.46780621284974955
global_mean,spatial,2,r2,-0.08806976123969168
global_mean,spatial,2,medape_pct,32.25348213516753
global_mean,spatial,2,mae_price_gbp,420510.12621147325
global_mean,spatial,2,duan_smearing,1.2446960123007194
global_median,spatial,2,rmse_log,0.6778153377408828
global_median,spatial,2,mae_log,0.4825741569163513
global_median,spatial,2,r2,-0.1651411091172208
global_median,spatial,2,medape_pct,31.9727891156463
global_median,spatial,2,mae_price_gbp,420510.12621147325
global_median,spatial,2,duan_smearing,1.333384592794873
spatial_knn,spatial,2,rmse_log,0.8513170089584209
spatial_knn,spatial,2,mae_log,0.623118729736489
spatial_knn,spatial,2,r2,-0.8379697643064459
spatial_knn,spatial,2,medape_pct,43.57913658477342
spatial_knn,spatial,2,mae_price_gbp,823100.5821256728
spatial_knn,spatial,2,duan_smearing,1.0378055750329636
ridge_no_spatial,spatial,2,rmse_log,0.4945121417989807
ridge_no_spatial,spatial,2,mae_log,0.35826041076854603
ridge_no_spatial,spatial,2,r2,0.37983156158017195
ridge_no_spatial,spatial,2,medape_pct,25.650740274185154
ridge_no_spatial,spatial,2,mae_price_gbp,355522.3061700857
ridge_no_spatial,spatial,2,duan_smearing,1.0933672441380953
ridge_spatial,spatial,2,rmse_log,0.48978322626662474
ridge_spatial,spatial,2,mae_log,0.3486472578154014
ridge_spatial,spatial,2,r2,0.3916359295722317
ridge_spatial,spatial,2,medape_pct,24.711101526307516
ridge_spatial,spatial,2,mae_price_gbp,336187.1812349255
ridge_spatial,spatial,2,duan_smearing,1.0676249031740859
lasso_spatial,spatial,2,rmse_log,0.4937021523359999
lasso_spatial,spatial,2,mae_log,0.35092684822291154
lasso_spatial,spatial,2,r2,0.38186151579428274
lasso_spatial,spatial,2,medape_pct,24.57148439288375
lasso_spatial,spatial,2,mae_price_gbp,336374.0433579258
lasso_spatial,spatial,2,duan_smearing,1.0678899357809768
lightgbm,spatial,2,rmse_log,0.5073431211440149
lightgbm,spatial,2,mae_log,0.3607973438151693
lightgbm,spatial,2,r2,0.3472313415316449
lightgbm,spatial,2,medape_pct,24.767325631101613
lightgbm,spatial,2,mae_price_gbp,338177.57577140915
lightgbm,spatial,2,duan_smearing,1.0467581858807964
global_mean,spatial,3,rmse_log,0.6822483363448846
global_mean,spatial,3,mae_log,0.49799006847602756
